iter	Logloss
0	0.6028420885
1	0.5139098027
2	0.4390758869
3	0.416888889
4	0.3865789031
5	0.3429706473
6	0.3044394913
7	0.2748014899
8	0.2547270165
9	0.2401740845
10	0.2280429344
11	0.2052571884
12	0.1868160814
13	0.164771989
14	0.156019191
15	0.1455899201
16	0.1341846459
17	0.1308680768
18	0.1255968784
19	0.1184335724
20	0.1156659468
21	0.1073297694
22	0.09964180383
23	0.09737795014
24	0.09292853596
25	0.08401503763
26	0.07548958745
27	0.07049567481
28	0.06807011985
29	0.0654187281
30	0.06347646605
31	0.05929020818
32	0.05910691254
33	0.05486168579
34	0.05039906247
35	0.0486255057
36	0.04555268065
37	0.04322046608
38	0.04084767988
39	0.03671639179
40	0.03471006115
41	0.03330151985
42	0.03148989556
43	0.03013762917
44	0.02813820762
45	0.02683531315
46	0.02542264768
47	0.02392398929
48	0.0214776554
49	0.02045287893
50	0.01991676196
51	0.01811269592
52	0.01721237966
53	0.01683772614
54	0.01598622996
55	0.01551457218
56	0.0144203743
57	0.01374151285
58	0.01329399636
59	0.0123288932
60	0.01196095281
61	0.01154639258
62	0.01121163443
63	0.01121161148
64	0.01064318251
65	0.009896133264
66	0.009602695731
67	0.009223733795
68	0.0090384166
69	0.00865953747
70	0.008210244645
71	0.007819169463
72	0.007508087533
73	0.007051266983
74	0.006579431143
75	0.006272124811
76	0.006035165118
77	0.005887327833
78	0.005663109634
79	0.005415719236
80	0.005187331535
81	0.005006046421
82	0.004812720219
83	0.004558164565
84	0.004433549084
85	0.004240444726
86	0.004029676765
87	0.0039426327
88	0.003808451317
89	0.003684895632
90	0.003521012763
91	0.003449355224
92	0.003405545803
93	0.00330790882
94	0.003127330001
95	0.002963020571
96	0.002839306487
97	0.002721974195
98	0.002624738366
99	0.002511301136
100	0.002394001332
101	0.002362267142
102	0.00233455174
103	0.002241313675
104	0.002173582616
105	0.002109012234
106	0.002082188348
107	0.002010876925
108	0.001942047509
109	0.001858666459
110	0.001791116214
111	0.001760501045
112	0.00169553247
113	0.001658988987
114	0.001591166105
115	0.001566015308
116	0.00152550852
117	0.001525499289
118	0.001525499289
119	0.001494649144
120	0.001454189999
121	0.001454163207
122	0.001454163207
123	0.001454163207
124	0.001416182518
125	0.001377749911
126	0.001377749911
127	0.001351811691
128	0.001351811691
129	0.001351808927
130	0.001351806168
131	0.001351800577
132	0.001351778254
133	0.001351755953
134	0.001351752061
135	0.001351749304
136	0.001351740927
137	0.001351733911
138	0.001351733911
139	0.001351733911
140	0.001351733911
141	0.001351733911
142	0.001351733911
143	0.001351726897
144	0.001351726897
145	0.001351726897
146	0.001351726897
147	0.001351726897
148	0.001351726897
149	0.001351726897
150	0.001351726897
151	0.001351726897
152	0.001351726897
153	0.001351726897
154	0.001351726897
155	0.001351720007
156	0.001351720007
157	0.001351720007
158	0.001351720007
159	0.00135171296
160	0.001351696205
161	0.001351693455
162	0.001351690702
163	0.001351673617
164	0.001351606589
165	0.001351606589
166	0.001351591029
167	0.001351523037
168	0.001351523037
169	0.001351516112
170	0.001351509177
171	0.001351487161
172	0.00135147316
173	0.001351455965
174	0.001351455965
175	0.001351455965
176	0.001351455965
177	0.001351455965
178	0.001351455965
179	0.001313967345
180	0.001313967345
181	0.001313958922
182	0.001313951013
183	0.001313943104
184	0.001313911471
185	0.001313895227
186	0.001313887321
187	0.001286500325
188	0.001255780831
189	0.001224548678
190	0.001224548678
191	0.001224523135
192	0.001224472063
193	0.001224452396
194	0.001224449385
195	0.001200885375
196	0.001200881935
197	0.001200876411
198	0.001200871503
199	0.00120086598
